sensor_id,hour,avg_count,rank_in_sensor
69,12,645.2903225806451,1.0
69,13,600.483870967742,2.0
69,11,498.4516129032258,3.0
69,14,490.96774193548384,4.0
69,15,444.51612903225805,5.0
70,18,377.53333333333336,1.0
70,19,341.4516129032258,2.0
70,20,331.8709677419355,3.0
70,12,315.6,4.0
70,17,305.9,5.0
71,12,42.58064516129032,1.0
71,11,37.516129032258064,2.0
71,17,36.87096774193548,3.0
71,9,36.5,4.0
71,10,35.645161290322584,5.0
72,17,1129.4,1.0
72,16,834.3666666666667,2.0
72,18,748.8,3.0
72,15,624.1666666666666,4.0
72,14,621.1,5.0
75,17,151.46666666666667,1.0
75,13,145.5,2.0
75,12,137.16666666666666,3.0
75,18,134.56666666666666,4.0
75,14,122.3,5.0
76,12,114.74193548387096,1.0
76,17,112.87096774193549,2.0
76,15,107.83870967741936,3.0
76,11,105.3225806451613,4.0
76,18,104.19354838709677,5.0
77,18,531.0,1.0
77,19,508.51612903225805,2.0
77,17,407.9032258064516,3.0
77,20,378.19354838709677,4.0
77,22,299.19354838709677,5.0
78,17,209.58064516129033,1.0
78,18,164.48387096774192,2.0
78,16,149.90322580645162,3.0
78,8,133.96774193548387,4.0
78,15,120.58064516129032,5.0
79,17,1434.5483870967741,1.0
79,18,1245.967741935484,2.0
79,16,1225.6774193548388,3.0
79,13,1065.7096774193549,4.0
79,15,1053.774193548387,5.0
84,17,2949.7096774193546,1.0
84,16,2554.8064516129034,2.0
84,18,2506.516129032258,3.0
84,13,2298.516129032258,4.0
84,15,2298.1612903225805,5.0
85,12,204.25806451612902,1.0
85,17,169.74193548387098,2.0
85,11,169.03225806451613,3.0
85,15,163.48387096774192,4.0
85,18,160.8709677419355,5.0
86,12,139.48387096774192,1.0
86,13,121.51612903225806,2.0
86,18,114.3225806451613,3.0
86,19,106.7741935483871,4.0
86,11,103.61290322580645,5.0
87,12,305.3,1.0
87,13,246.83333333333334,2.0
87,18,245.1,3.0
87,17,218.8,4.0
87,19,215.09677419354838,5.0
107,13,381.741935483871,1.0
107,17,352.35483870967744,2.0
107,12,310.80645161290323,3.0
107,18,292.83870967741933,4.0
107,14,279.96774193548384,5.0
108,8,1731.1290322580646,1.0
108,17,1378.225806451613,2.0
108,9,1009.9354838709677,3.0
108,16,958.483870967742,4.0
108,13,884.741935483871,5.0
109,8,486.61290322580646,1.0
109,17,459.80645161290323,2.0
109,16,395.4193548387097,3.0
109,9,347.80645161290323,4.0
109,13,334.80645161290323,5.0
117,17,625.4193548387096,1.0
117,18,540.4193548387096,2.0
117,16,446.0967741935484,3.0
117,22,421.83870967741933,4.0
117,19,416.51612903225805,5.0
118,18,82.35483870967742,1.0
118,17,78.87096774193549,2.0
118,16,54.96774193548387,3.0
118,19,52.70967741935484,4.0
118,15,45.516129032258064,5.0
123,18,134.38709677419354,1.0
123,19,131.41935483870967,2.0
123,12,120.48387096774194,3.0
123,13,114.61290322580645,4.0
123,17,96.16129032258064,5.0
124,18,19.103448275862068,1.0
124,12,16.928571428571427,2.0
124,13,15.0,3.0
124,17,10.758620689655173,4.0
124,19,10.73076923076923,5.0
130,12,152.90322580645162,1.0
130,13,121.2258064516129,2.0
130,14,105.0,3.0
130,15,104.48387096774194,4.0
130,18,103.16129032258064,5.0
131,13,334.0,1.0
131,12,315.23333333333335,2.0
131,17,274.06666666666666,3.0
131,14,264.2,4.0
131,16,250.33333333333334,5.0
132,18,367.80645161290323,1.0
132,17,344.5483870967742,2.0
132,19,335.93548387096774,3.0
132,13,329.6774193548387,4.0
132,12,308.2258064516129,5.0
133,17,1389.5483870967741,1.0
133,18,1389.3225806451612,2.0
133,16,1272.516129032258,3.0
133,19,1059.5483870967741,4.0
133,12,1032.5806451612902,5.0
134,17,1145.6129032258063,1.0
134,18,1093.1935483870968,2.0
134,16,1033.7096774193549,3.0
134,15,922.258064516129,4.0
134,19,893.1612903225806,5.0
135,17,1226.516129032258,1.0
135,18,1124.0,2.0
135,16,1076.8387096774193,3.0
135,12,1011.8387096774194,4.0
135,13,972.5483870967741,5.0
136,18,861.1290322580645,1.0
136,19,718.1290322580645,2.0
136,17,489.2258064516129,3.0
136,22,447.1290322580645,4.0
136,16,433.0967741935484,5.0
137,16,157.06666666666666,1.0
137,17,138.23333333333332,2.0
137,12,120.5,3.0
137,15,113.16666666666667,4.0
137,8,90.86666666666666,5.0
138,13,26.096774193548388,1.0
138,12,21.129032258064516,2.0
138,14,18.677419354838708,3.0
138,16,17.806451612903224,4.0
138,15,16.677419354838708,5.0
139,8,325.258064516129,1.0
139,17,281.83870967741933,2.0
139,16,181.48387096774192,3.0
139,18,181.06451612903226,4.0
139,9,135.32258064516128,5.0
140,18,247.19354838709677,1.0
140,17,240.32258064516128,2.0
140,16,197.70967741935485,3.0
140,15,166.8709677419355,4.0
140,19,166.38709677419354,5.0
141,13,356.7741935483871,1.0
141,12,347.741935483871,2.0
141,17,345.2903225806452,3.0
141,16,313.4516129032258,4.0
141,15,303.64516129032256,5.0
142,18,1393.8709677419354,1.0
142,19,1349.225806451613,2.0
142,12,1208.4516129032259,3.0
142,13,1199.967741935484,4.0
142,17,1151.741935483871,5.0
143,18,635.7741935483871,1.0
143,17,629.741935483871,2.0
143,19,515.1935483870968,3.0
143,16,453.16129032258067,4.0
143,15,428.3225806451613,5.0
161,18,1408.225806451613,1.0
161,19,1332.6774193548388,2.0
161,17,857.6129032258065,3.0
161,16,702.516129032258,4.0
161,13,563.3225806451613,5.0
162,12,1460.258064516129,1.0
162,13,1448.258064516129,2.0
162,14,1107.3225806451612,3.0
162,15,1075.5483870967741,4.0
162,11,1065.8064516129032,5.0
164,17,270.8709677419355,1.0
164,16,256.5483870967742,2.0
164,18,256.1290322580645,3.0
164,15,231.2258064516129,4.0
164,13,218.90322580645162,5.0
165,18,137.23333333333332,1.0
165,17,128.26666666666668,2.0
165,19,115.96666666666667,3.0
165,16,106.2,4.0
165,15,87.23333333333333,5.0
166,18,180.6451612903226,1.0
166,19,151.09677419354838,2.0
166,17,138.2258064516129,3.0
166,13,118.3225806451613,4.0
166,16,114.54838709677419,5.0
167,18,206.09677419354838,1.0
167,17,146.61290322580646,2.0
167,19,141.41935483870967,3.0
167,12,134.80645161290323,4.0
167,8,124.19354838709677,5.0
179,18,176.67741935483872,1.0
179,19,169.03225806451613,2.0
179,17,156.5483870967742,3.0
179,20,151.48387096774192,4.0
179,16,133.4516129032258,5.0
180,8,113.4,1.0
180,17,110.9047619047619,2.0
180,16,98.85714285714286,3.0
180,18,91.80952380952381,4.0
180,15,78.33333333333333,5.0
181,17,2683.6666666666665,1.0
181,18,2629.6666666666665,2.0
181,16,2288.0,3.0
181,19,2217.8333333333335,4.0
181,13,2038.0,5.0
